Total of 187 directories 
     key    d_min   signal pred_signal
2fg0/w1/  5.50   4.280   2.000 
2fg0/w1/  6.00   4.000   1.800 
2fg0/w2/  1.79  22.900  12.600 
2fg0/w2/  2.50  28.580  12.700 
2fg0/w2/  3.00  28.560  11.500 
2fg0/w2/  3.50  25.940   9.800 
2fg0/w2/  4.00  21.670   8.100 
2fg0/w2/  4.50  18.470   6.800 
2fg0/w2/  5.00  15.990   5.800 
2fg0/w2/  5.50  13.910   5.100 
2fg0/w2/  6.00  12.310   4.500 
2fg9/w1/  2.20  11.350  17.800 
2fg9/w1/  2.50  12.250  16.000 
2fg9/w1/  3.00  12.070  12.900 
2fg9/w1/  3.50  10.250  10.400 
2fg9/w1/  4.00   8.970   8.600 
2fg9/w1/  4.50   7.260   7.200 
2fg9/w1/  5.00   6.010   6.100 
2fg9/w1/  5.50   4.990   5.300 
2fg9/w1/  6.00   4.540   4.700 
2fg9/w2/  2.20  13.610  18.100 
2fg9/w2/  2.50  13.610  16.100 
2fg9/w2/  3.00  12.330  13.000 
2fg9/w2/  3.50   9.850  10.500 
2fg9/w2/  4.00   8.210   8.600 
2fg9/w2/  4.50   6.190   7.200 
2fg9/w2/  5.00   4.890   6.200 
2fg9/w2/  5.50   4.060   5.400 
2fg9/w2/  6.00   3.500   4.700 
2fg9/w3/  2.20   3.540   6.000 
2fg9/w3/  2.50   4.250   6.600 
2fg9/w3/  3.00   5.400   6.900 
2fg9/w3/  3.50   5.210   6.400 
2fg9/w3/  4.00   5.080   5.600 
2fg9/w3/  4.50   4.320   4.700 
2fg9/w3/  5.00   3.710   4.100 
2fg9/w3/  5.50   3.260   3.600 
2fg9/w3/  6.00   3.210   3.200 
2fna/w1/  2.00  12.590  16.300 
2fna/w1/  2.50  13.310  15.800 
2fna/w1/  3.00  11.650  13.900 
2fna/w1/  3.50  10.580  11.800 
2fna/w1/  4.00  10.340  10.300 
2fna/w1/  4.50   9.630   8.800 
2fna/w1/  5.00   8.760   7.600 
2fna/w1/  5.50   8.100   6.700 
2fna/w1/  6.00   7.390   6.100 
2fna/w2/  2.00   8.130   9.600 
2fna/w2/  2.50   8.830   9.700 
2fna/w2/  3.00   8.240   8.800 
2fna/w2/  3.50   7.200   7.500 
2fna/w2/  4.00   7.290   6.500 
2fna/w2/  4.50   7.110   5.700 
2fna/w2/  5.00   6.530   4.900 
2fna/w2/  5.50   6.270   4.400 
2fna/w2/  6.00   5.720   4.000 
2fqp/w1/  1.80   3.230   3.800 
2fqp/w1/  2.50   3.580   3.900 
2fqp/w1/  3.00   2.860   3.500 
2fqp/w1/  3.50   2.490   3.000 
2fqp/w1/  4.00   1.940   2.500 
2fqp/w1/  4.50   1.720   2.000 
2fqp/w1/  5.00   1.600   1.700 
2fqp/w1/  5.50   1.690   1.400 
2fqp/w1/  6.00   1.380   1.200 
2fqp/w2/  1.80  13.750  18.600 
2fqp/w2/  2.50  13.280  16.100 
2fqp/w2/  3.00  10.140  13.400 
2fqp/w2/  3.50   8.150  10.900 
2fqp/w2/  4.00   6.570   9.000 
2fqp/w2/  4.50   5.500   7.500 
2fqp/w2/  5.00   4.790   6.300 
2fqp/w2/  5.50   4.170   5.300 
2fqp/w2/  6.00   3.600   4.700 
2fur/w1/  1.80  10.120  16.900 
2fur/w1/  2.50  11.520  15.400 
2fur/w1/  3.00  10.810  13.200 
2fur/w1/  3.50  10.260  11.100 
2fur/w1/  4.00   8.900   9.300 
2fur/w1/  4.50   7.890   7.900 
2fur/w1/  5.00   7.120   6.800 
2fur/w1/  5.50   6.300   6.000 
2fur/w1/  6.00   5.490   5.300 
2fur/w2/  1.80   1.390   2.700 
2fur/w2/  2.50   2.130   2.900 
2fur/w2/  3.00   2.360   2.700 
2fur/w2/  3.50   2.630   2.400 
2fur/w2/  4.00   2.680   2.100 
2fur/w2/  4.50   2.810   1.900 
2fur/w2/  5.00   3.010   1.600 
2fur/w2/  5.50   2.840   1.400 
2fur/w2/  6.00   2.540   1.300 
2fur/w3/  1.90  10.410  -1.000 
2fur/w3/  2.50  12.550  14.800 
2fur/w3/  3.00  11.740  13.100 
