Total of 228 directories 
     key    d_min fraction_found  Signal
2f4p/w1/  4.00   0.250   1.820 
2f4p/w1/  4.50   0.500   1.480 
2f4p/w1/  5.00   0.250   1.580 
2f4p/w1/  5.50   0.250   1.580 
2f4p/w1/  6.00   0.250   1.430 
2f4p/w2/  1.90   1.000  22.310 
2f4p/w2/  2.50   1.000  23.920 
2f4p/w2/  3.00   1.000  20.420 
2f4p/w2/  3.50   1.000  17.700 
2f4p/w2/  4.00   1.000  14.730 
2f4p/w2/  4.50   1.000  12.420 
2f4p/w2/  5.00   1.000  10.780 
2f4p/w2/  5.50   1.000   9.440 
2f4p/w2/  6.00   0.750   7.900 
2fea/w1/  2.00   0.143   2.790 
2fea/w1/  2.50   0.143   3.580 
2fea/w1/  3.00   0.071   3.730 
2fea/w1/  3.50   0.143   3.400 
2fea/w1/  4.00   0.071   2.950 
2fea/w1/  4.50   0.071   2.140 
2fea/w1/  5.00   0.071   2.040 
2fea/w1/  5.50   0.071   1.900 
2fea/w1/  6.00   0.071   1.600 
2fea/w2/  2.00   0.929  13.740 
2fea/w2/  2.50   1.000  15.750 
2fea/w2/  3.00   1.000  14.440 
2fea/w2/  3.50   0.929  12.430 
2fea/w2/  4.00   0.857  10.570 
2fea/w2/  4.50   0.786   8.630 
2fea/w2/  5.00   0.286   7.390 
2fea/w2/  5.50   0.143   6.420 
2fea/w2/  6.00   0.214   5.820 
2ffj/w1/  2.45   1.000  12.690 
2ffj/w1/  3.00   0.000  14.560 
2ffj/w1/  3.50   1.000  14.830 
2ffj/w1/  4.00   1.000  13.520 
2ffj/w1/  4.50   1.000  12.100 
2ffj/w1/  5.00   1.000  10.760 
2ffj/w1/  5.50   1.000   9.330 
2ffj/w1/  6.00   0.000   7.920 
2ffj/w2/  2.66   0.000   8.270 
2ffj/w2/  3.00   0.000   8.750 
2ffj/w2/  3.50   0.000   8.940 
2ffj/w2/  4.00   0.000   8.800 
2ffj/w2/  4.50   0.000   8.530 
2ffj/w2/  5.00   0.000   8.120 
2ffj/w2/  5.50   0.000   7.190 
2ffj/w2/  6.00   0.000   6.380 
2ffj/w3/  2.45   0.000   7.930 
2ffj/w3/  3.00   0.000  10.370 
2ffj/w3/  3.50   0.000  11.400 
2ffj/w3/  4.00   0.000  11.090 
2ffj/w3/  4.50   0.000  10.280 
2ffj/w3/  5.00   0.250   9.450 
2ffj/w3/  5.50   1.000   8.400 
2ffj/w3/  6.00   0.000   7.270 
2fg0/w1/  1.79   0.000   3.950 
2fg0/w1/  2.50   0.000   5.110 
2fg0/w1/  3.00   0.000   6.390 
2fg0/w1/  3.50   0.000   6.590 
2fg0/w1/  4.00   0.000   6.440 
2fg0/w1/  4.50   0.000   5.560 
2fg0/w1/  5.00   0.000   5.040 
2fg0/w1/  5.50   0.000   4.280 
2fg0/w1/  6.00   0.000   4.000 
2fg0/w2/  1.79   1.000  22.900 
2fg0/w2/  2.50   1.000  28.580 
2fg0/w2/  3.00   1.000  28.560 
2fg0/w2/  3.50   1.000  25.940 
2fg0/w2/  4.00   1.000  21.670 
2fg0/w2/  4.50   1.000  18.470 
2fg0/w2/  5.00   1.000  15.990 
2fg0/w2/  5.50   1.000  13.910 
2fg0/w2/  6.00   1.000  12.310 
2fg9/w1/  2.20   1.000  11.350 
2fg9/w1/  2.50   1.000  12.250 
2fg9/w1/  3.00   1.000  12.070 
2fg9/w1/  3.50   1.000  10.250 
2fg9/w1/  4.00   1.000   8.970 
2fg9/w1/  4.50   1.000   7.260 
2fg9/w1/  5.00   0.000   6.010 
2fg9/w1/  5.50   0.000   4.990 
2fg9/w1/  6.00   0.000   4.540 
2fg9/w2/  2.20   1.000  13.610 
2fg9/w2/  2.50   1.000  13.610 
2fg9/w2/  3.00   1.000  12.330 
2fg9/w2/  3.50   1.000   9.850 
2fg9/w2/  4.00   1.000   8.210 
2fg9/w2/  4.50   0.000   6.190 
2fg9/w2/  5.00   0.000   4.890 
2fg9/w2/  5.50   0.000   4.060 
2fg9/w2/  6.00   0.000   3.500 
2fg9/w3/  2.20   0.125   3.540 
2fg9/w3/  2.50   0.000   4.250 
