GET ATOMIC IMAGES OF A CHOSEN RESOLUTION

input file of scattering factors :
    MX_wk1995_6.SF
truncation radius          11.0000
distance grid step          0.0010
resolution cut-off          1.0000
resolution grid number   2000
temperature factor          0.0000
number of atomic types      7
following atomic types are chosen :
    C    N    O    P    S    Fe   Au  

scattering factors file. First line:
following wk1995.cpp from Phenix

table of scattering factors contains data for  213  atomic types
    6 -Gaussian approximation is used
identified positions in the table
    7    8    9   16   17   27   80

     N     dist       C              N              O              P              S              Fe             Au             
   176     0.1760        8.38150650    10.38601775    12.91126108    29.74017063    31.27060540    55.12650315   203.58895664
   177     0.1770        8.37095992    10.37316518    12.89528599    29.70024128    31.22880627    55.05385375   203.31137997
   178     0.1780        8.36036380    10.36025207    12.87923561    29.66012531    31.18681175    54.98086387   203.03250707
   179     0.1790        8.34971831    10.34727863    12.86311018    29.61982338    31.14462251    54.90753467   202.75234240
   180     0.1800        8.33902361    10.33424507    12.84690994    29.57933612    31.10223923    54.83386729   202.47089046
   181     0.1810        8.32827988    10.32115157    12.83063514    29.53866418    31.05966259    54.75986290   202.18815575
   182     0.1820        8.31748727    10.30799835    12.81428604    29.49780821    31.01689325    54.68552266   201.90414279
   183     0.1830        8.30664596    10.29478559    12.79786288    29.45676885    30.97393191    54.61084775   201.61885613
   184     0.1840        8.29575611    10.28151352    12.78136591    29.41554677    30.93077924    54.53583934   201.33230034
   185     0.1850        8.28481790    10.26818233    12.76479539    29.37414262    30.88743593    54.46049860   201.04447999
   186     0.1860        8.27383149    10.25479222    12.74815157    29.33255706    30.84390268    54.38482673   200.75539969
   187     0.1870        8.26279705    10.24134340    12.73143471    29.29079074    30.80018018    54.30882492   200.46506406
   188     0.1880        8.25171477    10.22783608    12.71464505    29.24884435    30.75626911    54.23249435   200.17347773
   189     0.1890        8.24058480    10.21427047    12.69778286    29.20671854    30.71217019    54.15583622   199.88064536
   190     0.1900        8.22940732    10.20064677    12.68084840    29.16441398    30.66788410    54.07885175   199.58657163
   191     0.1910        8.21818251    10.18696519    12.66384192    29.12193135    30.62341155    54.00154213   199.29126122
   192     0.1920        8.20691054    10.17322594    12.64676368    29.07927131    30.57875326    53.92390858   198.99471886
   193     0.1930        8.19559158    10.15942923    12.62961394    29.03643456    30.53390992    53.84595233   198.69694926
   194     0.1940        8.18422581    10.14557528    12.61239297    28.99342177    30.48888225    53.76767458   198.39795718
   195     0.1950        8.17281341    10.13166430    12.59510103    28.95023362    30.44367097    53.68907657   198.09774737
   196     0.1960        8.16135455    10.11769649    12.57773838    28.90687079    30.39827678    53.61015953   197.79632462
   197     0.1970        8.14984941    10.10367207    12.56030529    28.86333399    30.35270042    53.53092469   197.49369373
   198     0.1980        8.13829817    10.08959127    12.54280201    28.81962388    30.30694260    53.45137330   197.18985952
   199     0.1990        8.12670101    10.07545428    12.52522883    28.77574118    30.26100404    53.37150660   196.88482682
   200     0.2000        8.11505811    10.06126133    12.50758600    28.73168657    30.21488548    53.29132584   196.57860048
   201     0.2010        8.10336964    10.04701264    12.48987379    28.68746075    30.16858764    53.21083228   196.27118537
   202     0.2020        8.09163579    10.03270842    12.47209248    28.64306442    30.12211126    53.13002716   195.96258638
   203     0.2030        8.07985674    10.01834889    12.45424233    28.59849829    30.07545707    53.04891176   195.65280840
   204     0.2040        8.06803267    10.00393427    12.43632361    28.55376306    30.02862581    52.96748734   195.34185636
   205     0.2050        8.05616377     9.98946478    12.41833660    28.50885944    29.98161821    52.88575517   195.02973519
   206     0.2060        8.04425021     9.97494064    12.40028158    28.46378813    29.93443503    52.80371653   194.71644985
   207     0.2070        8.03229218     9.96036207    12.38215880    28.41854985    29.88707700    52.72137269   194.40200531
   208     0.2080        8.02028987     9.94572929    12.36396856    28.37314532    29.83954488    52.63872495   194.08640654
   209     0.2090        8.00824346     9.93104254    12.34571112    28.32757524    29.79183941    52.55577459   193.76965856
   210     0.2100        7.99615314     9.91630202    12.32738676    28.28184035    29.74396134    52.47252290   193.45176638
   211     0.2110        7.98401908     9.90150796    12.30899576    28.23594136    29.69591144    52.38897118   193.13273503
   212     0.2120        7.97184149     9.88666060    12.29053840    28.18987899    29.64769045    52.30512073   192.81256957
   213     0.2130        7.95962054     9.87176015    12.27201495    28.14365398    29.59929914    52.22097286   192.49127506
   214     0.2140        7.94735643     9.85680684    12.25342571    28.09726704    29.55073826    52.13652887   192.16885658
   215     0.2150        7.93504934     9.84180090    12.23477094    28.05071892    29.50200859    52.05179007   191.84531923
   216     0.2160        7.92269947     9.82674256    12.21605093    28.00401034    29.45311089    51.96675779   191.52066812
